Volume,Budget,Year,Credit_limit,Product_type,Legalstatus,Payment_type
141.25,213.78,2016,1200,Diesel,Limited_Company,Direct_Debit
38.37,58.95,2016,1000,Diesel,Limited_Company,Direct_Debit
83.91,137.81,2016,2000,Diesel,Partnership,Direct_Debit
433.2,632.17,2016,4000,Diesel,Sole_Trader,Direct_Debit
106.53,186.53,2016,2250,Diesel,Limited_Company,Direct_Debit
130,228.42,2016,1500,Diesel,Limited_Company,Direct_Debit
179.09,257.85,2016,1500,Diesel,Sole_Trader,Direct_Debit
70.36,106.86,2016,1400,Diesel,Limited_Company,Direct_Debit
41.38,72.47,2016,750,Diesel,Limited_Company,Direct_Debit
49.36,78.32,2016,1250,Diesel,Limited_Company,Direct_Debit
31.42,78.72,2016,3200,Diesel,Limited_Company,Direct_Debit
127.51,188.5,2016,1500,Diesel,Limited_Company,Direct_Debit
70.16,117.1,2017,3000,Diesel,Limited_Company,Direct_Debit
98.72,160.86,2017,2200,Diesel,Limited_Company,Direct_Debit
51.48,77.33,2017,1100,Diesel,Limited_Company,Direct_Debit
138.75,216.4,2017,2000,Diesel,Limited_Company,Direct_Debit
101.84,173.5,2017,3000,Petrol,Sole_Trader,Direct_Debit
78.81,119.96,2017,1000,Diesel,Limited_Company,Direct_Debit
47.02,67.88,2017,400,Diesel,Partnership,Direct_Debit
152.28,270.82,2017,1500,Diesel,Limited_Company,Direct_Debit
59.15,87.6,2017,400,Diesel,Limited_Company,Direct_Debit
105.3,191.74,2017,800,Diesel,Limited_Company,Direct_Debit
215.59,356.57,2017,3200,Diesel,Limited_Company,Direct_Debit
29.64,50.01,2017,700,Diesel,Limited_Company,Direct_Debit
67.74,119.79,2017,1200,Diesel,Limited_Company,Direct_Debit
64.92,105.39,2017,500,Diesel,Limited_Company,Direct_Debit
523.96,769.02,2017,3000,Diesel,Partnership,Direct_Debit
94.73,150.63,2017,1000,Diesel,Limited_Company,Direct_Debit
75.39,136.08,2017,1000,Diesel,Limited_Company,Direct_Debit
63.21,110.36,2017,450,Diesel,Limited_Company,Direct_Debit
133.71,208.71,2017,4500,Diesel,Limited_Company,Direct_Debit
20.85,29.9,2017,2000,Diesel,Sole_Trader,Direct_Debit
185.55,314.97,2017,1600,Diesel,Limited_Company,Direct_Debit
241.61,374.59,2017,4000,Diesel,Limited_Company,Direct_Debit
192.65,315.22,2017,4500,Diesel,Limited_Company,Direct_Debit
170.44,286.01,2017,3600,Diesel,Limited_Company,Direct_Debit
21.61,48.39,2017,1000,Petrol,Limited_Company,Direct_Debit
90.99,158.28,2017,2000,Diesel,Limited_Company,Direct_Debit
55.69,82.62,2017,500,Diesel,Limited_Company,Direct_Debit
126.93,205.13,2017,1500,Diesel,Sole_Trader,Direct_Debit
82.58,149.8,2017,1500,Diesel,Limited_Company,Direct_Debit
64.21,94.12,2017,3000,Diesel,Sole_Trader,Direct_Debit
139.84,238.61,2017,1000,Diesel,Limited_Company,Direct_Debit
108.47,167.71,2017,2800,Petrol,Limited_Company,Direct_Debit
43.05,62.96,2017,400,Diesel,Partnership,Direct_Debit
28.2,50.17,2017,400,Diesel,Limited_Company,Direct_Debit
125.05,188.39,2017,800,Diesel,Limited_Company,Direct_Debit
169.22,303.85,2017,4500,Diesel,Limited_Company,Direct_Debit
70.67,104.62,2019,2000,Diesel,Limited_Company,Direct_Debit
8.23,12.09,2017,1000,Diesel,Limited_Company,Direct_Debit
36.36,65.07,2017,800,Petrol,Limited_Company,Direct_Debit
47.58,68.72,2017,400,Diesel,Limited_Company,Direct_Debit
178.25,312.39,2017,3300,Diesel,Limited_Company,Direct_Debit
35.47,50.82,2017,2400,Petrol,Limited_Company,Direct_Debit
300.08,444.12,2018,1600,Diesel,Sole_Trader,Direct_Debit
31.86,46.63,2018,2000,Diesel,Limited_Company,Direct_Debit
63.56,94.79,2018,500,Diesel,Limited_Company,Direct_Debit
118.91,202.57,2018,3000,Diesel,Limited_Company,Direct_Debit
77.99,131.6,2018,2500,Diesel,Limited_Company,Direct_Debit
84.54,121.47,2018,3800,Diesel,Limited_Company,Direct_Debit
27.2,39.67,2018,750,Diesel,Limited_Company,Direct_Debit
344.25,499.06,2018,2000,Diesel,Limited_Company,Direct_Debit
161.53,280.23,2018,1200,Diesel,Limited_Company,Direct_Debit
409.35,709.97,2018,2250,Diesel,Sole_Trader,Direct_Debit
145.55,254.05,2018,1200,Diesel,Limited_Company,Direct_Debit
200.02,300.41,2018,1700,Diesel,Limited_Company,Direct_Debit
66.38,105.37,2018,4400,Petrol,Limited_Company,Direct_Debit
50.56,113.2,2018,1100,Diesel,Limited_Company,Direct_Debit
13.75,30.78,2018,1000,Petrol,Limited_Company,Direct_Debit
101.6,155.33,2018,3600,Diesel,Limited_Company,Direct_Debit
40.01,63.96,2018,2000,Diesel,Limited_Company,Direct_Debit
13.68,21.97,2018,400,Diesel,Limited_Company,Direct_Debit
67.58,102.68,2018,3200,Diesel,Limited_Company,Direct_Debit
229.66,416.13,2018,3000,Diesel,Limited_Company,Direct_Debit
72.51,107.91,2018,2400,Diesel,Limited_Company,Direct_Debit
330.97,612.18,2018,4000,Diesel,Limited_Company,Direct_Debit
61.09,113,2018,1200,Diesel,Limited_Company,Direct_Debit
335.65,577.54,2018,3500,Diesel,Limited_Company,Direct_Debit
50.03,77.41,2018,400,Diesel,Limited_Company,Direct_Debit
146.36,224.83,2018,1500,Petrol,Limited_Company,Direct_Debit
92.34,157.05,2018,4000,Diesel,Limited_Company,Direct_Debit
46.37,82.52,2018,700,Diesel,Limited_Company,Direct_Debit
54.03,83.3,2018,1000,Diesel,Limited_Company,Direct_Debit
32.35,50.08,2018,400,Diesel,Limited_Company,Direct_Debit
32.29,51.5,2018,400,Diesel,Limited_Company,Direct_Debit
47.9,83.6,2018,900,Diesel,Limited_Company,Direct_Debit
21.87,32.17,2018,500,Diesel,Limited_Company,Direct_Debit
30.84,54.54,2018,500,Diesel,Limited_Company,Direct_Debit
56.26,79.99,2018,500,Diesel,Sole_Trader,Direct_Debit
61.14,109.99,2018,3000,Petrol,Limited_Company,Direct_Debit
97.59,187.19,2018,4500,Diesel,Limited_Company,Direct_Debit
49.43,75.65,2018,800,Diesel,Limited_Company,Direct_Debit
70.86,107.92,2018,2000,Diesel,Limited_Company,Direct_Debit
312.92,502.99,2018,1000,Diesel,Limited_Company,Direct_Debit
54.48,93.65,2018,1300,Diesel,Limited_Company,Direct_Debit
134.84,208.11,2018,3000,Diesel,Limited_Company,Direct_Debit
53.22,92.34,2018,400,Petrol,Sole_Trader,Direct_Debit
75.28,110.77,2018,750,Diesel,Limited_Company,Direct_Debit
63.42,92.19,2018,1000,Diesel,Limited_Company,Direct_Debit
333.02,505.82,2018,1000,Diesel,Limited_Company,Direct_Debit
59.58,95.88,2018,1900,Diesel,Limited_Company,Direct_Debit
114.91,170.19,2018,1200,Diesel,Limited_Company,Direct_Debit
69.98,110.32,2018,500,Diesel,Limited_Company,Direct_Debit
76.11,114.17,2018,1000,Petrol,Limited_Company,Direct_Debit
42.7,67.68,2018,1000,Diesel,Limited_Company,Direct_Debit
197.92,315.87,2018,1500,Diesel,Limited_Company,Direct_Debit
50.75,75.56,2018,2500,Diesel,Limited_Company,Direct_Debit
83.51,139.57,2018,3200,Diesel,Limited_Company,Direct_Debit
69.71,112.57,2018,4000,Diesel,Limited_Company,Direct_Debit
199.72,291.48,2018,2000,Petrol,Limited_Company,Direct_Debit
205.14,325.35,2018,3000,Diesel,Limited_Company,Direct_Debit
55.19,82.52,2018,400,Diesel,Sole_Trader,Direct_Debit
97.62,147.56,2018,2250,Diesel,Limited_Company,Direct_Debit
86.58,144.53,2018,1000,Diesel,Limited_Company,Direct_Debit
47.78,80.5,2018,2900,Diesel,Limited_Company,Direct_Debit
131.64,193.13,2018,3000,Diesel,Limited_Company,Direct_Debit
48.91,82.58,2018,1500,Diesel,Limited_Company,Direct_Debit
37.46,62.68,2018,1100,Diesel,Limited_Company,Direct_Debit
43.28,68.52,2019,600,Diesel,Limited_Company,Direct_Debit
91.3,138.25,2019,800,Diesel,Sole_Trader,Direct_Debit
125.76,244.77,2019,2400,Petrol,Limited_Company,Direct_Debit
55.28,79.12,2019,750,Diesel,Limited_Company,Direct_Debit
101.38,169.54,2019,800,Diesel,Limited_Company,Direct_Debit
106.71,170.48,2019,900,Diesel,Limited_Company,Direct_Debit
32.18,45.31,2019,750,Diesel,Limited_Company,Direct_Debit
136.73,227.23,2019,2200,Diesel,Limited_Company,Direct_Debit
269.43,406.75,2019,1000,Diesel,Limited_Company,Direct_Debit
56.07,93.04,2019,1000,Diesel,Limited_Company,Direct_Debit
55.76,124.85,2019,1600,Diesel,Limited_Company,Direct_Debit
26.75,42.96,2019,1200,Diesel,Limited_Company,Direct_Debit
249.44,467.28,2019,3000,Diesel,Limited_Company,Direct_Debit
211.31,314.73,2019,1000,Diesel,Limited_Company,Direct_Debit
43.55,65.21,2019,3200,Petrol,Limited_Company,Direct_Debit
245.63,412.49,2019,3750,Diesel,Limited_Company,Direct_Debit
135.16,221.01,2019,2400,Diesel,Limited_Company,Direct_Debit
143.36,242.61,2019,1000,Diesel,Limited_Company,Direct_Debit
197.69,329.14,2019,1800,Diesel,Limited_Company,Direct_Debit
82.21,139.9,2019,3200,Diesel,Limited_Company,Direct_Debit
83.53,138.96,2019,3000,Diesel,Limited_Company,Direct_Debit
292.79,488.6,2019,2500,Diesel,Limited_Company,Direct_Debit
164.01,261.31,2019,3600,Diesel,Limited_Company,Direct_Debit
166.36,242.77,2019,2100,Diesel,Sole_Trader,Direct_Debit
60.97,88.99,2019,500,Diesel,Limited_Company,Direct_Debit
198.1,308.23,2019,4800,Petrol,Limited_Company,Direct_Debit
362.15,601.99,2019,2800,Petrol,Limited_Company,Direct_Debit
37.53,59.24,2019,1000,Petrol,Limited_Company,Direct_Debit
26.93,41.72,2019,1500,Petrol,Limited_Company,Direct_Debit
86,139.69,2019,1200,Diesel,Partnership,Direct_Debit
35.97,55.25,2019,1000,Diesel,Limited_Company,Direct_Debit
214.56,311.45,2019,4000,Diesel,Limited_Company,Direct_Debit
65.59,103.4,2019,400,Diesel,Sole_Trader,Direct_Debit
148.12,234.28,2019,3500,Diesel,Limited_Company,Direct_Debit
57.7,101.79,2019,3000,Diesel,Limited_Company,Direct_Debit
255.75,374.11,2019,1000,Diesel,Limited_Company,Direct_Debit
132.39,206.89,2019,3000,Diesel,Limited_Company,Direct_Debit
43.89,66.09,2019,400,Diesel,Partnership,Direct_Debit
15.01,24.01,2019,1500,Diesel,Limited_Company,Direct_Debit
118.04,192.68,2019,2800,Diesel,Limited_Company,Direct_Debit
6.16,11.39,2019,750,Diesel,Limited_Company,Direct_Debit
76.95,119.47,2019,500,Diesel,Sole_Trader,Direct_Debit
72.66,114.54,2019,500,Diesel,Limited_Company,Direct_Debit
92.87,146.4,2020,2000,Diesel,Limited_Company,Direct_Debit
55.07,86.97,2020,600,Diesel,Limited_Company,Direct_Debit
68.7,102.15,2013,2000,Diesel,Limited_Company,Direct_Debit
84.95,138.42,2013,3200,Diesel,Limited_Company,Direct_Debit
43.5,66.67,2013,1000,Diesel,Limited_Company,Direct_Debit
7.58,12.55,2013,1400,Diesel,Limited_Company,Direct_Debit
147.68,227.02,2013,2000,Diesel,Limited_Company,Direct_Debit
27.06,42.22,2013,750,Diesel,Limited_Company,Direct_Debit
43.76,65.58,2013,2000,Diesel,Limited_Company,Direct_Debit
67.58,110.51,2013,1800,Diesel,Limited_Company,Direct_Debit
56.15,83.75,2013,4500,Diesel,Limited_Company,Direct_Debit
72.35,105.58,2014,800,Petrol,Limited_Company,Direct_Debit
40,58.93,2014,500,Diesel,Sole_Trader,Direct_Debit
49.47,88.01,2014,700,Petrol,Limited_Company,Direct_Debit
65.35,102.9,2014,1000,Diesel,Partnership,Direct_Debit
38.48,70.13,2014,400,Diesel,Limited_Company,Direct_Debit
115.98,195.61,2014,900,Diesel,Sole_Trader,Direct_Debit
45.09,80.94,2014,450,Diesel,Sole_Trader,Direct_Debit
340,517.96,2014,2000,Diesel,Sole_Trader,Direct_Debit
56.37,85.9,2014,2500,Diesel,Limited_Company,Direct_Debit
56.25,98.34,2014,1000,Diesel,Limited_Company,Direct_Debit
71.47,119.64,2014,800,Diesel,Limited_Company,Direct_Debit
38.5,66.64,2014,1100,Diesel,Limited_Company,Direct_Debit
105.16,166.82,2014,500,Diesel,Limited_Company,Direct_Debit
38.9,54.37,2014,700,Petrol,Limited_Company,Direct_Debit
420.01,606.62,2014,2500,Diesel,Sole_Trader,Direct_Debit
202.58,316.99,2014,3000,Diesel,Sole_Trader,Direct_Debit
43.41,66.79,2014,400,Diesel,Limited_Company,Direct_Debit
70.7,104.78,2014,1500,Diesel,Partnership,Direct_Debit
26.9,39.7,2014,500,Diesel,Limited_Company,Direct_Debit
21.59,32.05,2014,2000,Diesel,Sole_Trader,Direct_Debit
70.65,107.99,2014,1100,Petrol,Limited_Company,Direct_Debit
54.72,88.42,2014,1750,Petrol,Sole_Trader,Direct_Debit
121.62,184.2,2014,1600,Diesel,Sole_Trader,Direct_Debit
53,78.14,2014,3000,Diesel,Limited_Company,Direct_Debit
25.15,41.39,2014,700,Diesel,Limited_Company,Direct_Debit
141.23,212.14,2014,2400,Diesel,Limited_Company,Direct_Debit
47.37,74.68,2014,600,Petrol,Limited_Company,Direct_Debit
142.82,219.3,2014,2250,Diesel,Sole_Trader,Direct_Debit
69.83,103.34,2014,400,Diesel,Limited_Company,Direct_Debit
53.05,88.33,2014,400,Diesel,Limited_Company,Direct_Debit
132.81,197.35,2014,900,Diesel,Sole_Trader,Direct_Debit
297.25,445.25,2015,1500,Diesel,Sole_Trader,Direct_Debit
49.88,114.89,2015,4200,Diesel,Limited_Company,Direct_Debit
43.63,74.23,2015,1500,Diesel,Sole_Trader,Direct_Debit
80.26,140.16,2015,550,Diesel,Limited_Company,Direct_Debit
123.86,219.8,2015,1800,Diesel,Limited_Company,Direct_Debit
140.86,235.21,2015,2250,Diesel,Limited_Company,Direct_Debit
32.49,46.11,2015,2000,Diesel,Limited_Company,Direct_Debit
81.49,133.45,2015,3000,Diesel,Limited_Company,Direct_Debit
75.01,134.17,2015,1000,Diesel,Limited_Company,Direct_Debit
715.99,1131.64,2015,3000,Diesel,Sole_Trader,Direct_Debit
235.41,355.59,2015,1600,Diesel,Limited_Company,Direct_Debit
36.96,55.15,2015,1000,Diesel,Limited_Company,Direct_Debit
583.76,910.39,2015,2400,Diesel,Limited_Company,Direct_Debit
73,178.77,2015,3000,Diesel,Sole_Trader,Direct_Debit
304.14,441.64,2015,4300,Diesel,Limited_Company,Direct_Debit
100,156.89,2015,4000,Diesel,Limited_Company,Direct_Debit
55.06,98.04,2015,2750,Diesel,Limited_Company,Direct_Debit
56.78,82.28,2015,750,Diesel,Sole_Trader,Direct_Debit
108.21,193.41,2015,1600,Diesel,Limited_Company,Direct_Debit
66.58,104.7,2015,1800,Diesel,Limited_Company,Direct_Debit
42,66.44,2015,4000,Diesel,Sole_Trader,Direct_Debit
48.56,72.45,2015,1500,Diesel,Limited_Company,Direct_Debit
81.82,124.86,2015,800,Diesel,Partnership,Direct_Debit
145.03,209.15,2015,2800,Diesel,Partnership,Direct_Debit
63.24,96.28,2015,1000,Diesel,Limited_Company,Direct_Debit
62.39,88.28,2015,500,Diesel,Partnership,Direct_Debit
152.27,225.02,2015,650,Diesel,Limited_Company,Direct_Debit
46.27,71.76,2015,600,Diesel,Partnership,Direct_Debit
22.21,42.22,2015,450,Diesel,Sole_Trader,Direct_Debit
81.54,121.71,2015,1600,Diesel,Limited_Company,Direct_Debit
38.63,54.83,2015,1500,Diesel,Sole_Trader,Direct_Debit
126.2,218.57,2015,4000,Diesel,Limited_Company,Direct_Debit
101.69,145.27,2015,1300,Diesel,Limited_Company,Direct_Debit
84.4,131.8,2015,800,Diesel,Limited_Company,Direct_Debit
67.35,105.85,2015,2500,Diesel,Limited_Company,Direct_Debit
131.42,208.58,2015,3600,Diesel,Limited_Company,Direct_Debit
481.48,773.82,2015,4000,Diesel,Limited_Company,Direct_Debit
109.63,183.41,2015,3000,Petrol,Limited_Company,Direct_Debit
70.48,107.82,2015,1200,Diesel,Limited_Company,Direct_Debit
29.68,44.99,2015,500,Diesel,Sole_Trader,Direct_Debit
47.59,75.7,2015,1100,Diesel,Limited_Company,Direct_Debit
37.45,57.89,2015,1000,Diesel,Limited_Company,Direct_Debit
189.07,307.15,2015,4200,Diesel,Limited_Company,Direct_Debit
28.75,41.67,2015,500,Diesel,Limited_Company,Direct_Debit
189,282.89,2015,2000,Diesel,Sole_Trader,Direct_Debit
82.8,148.9,2015,4500,Diesel,Limited_Company,Direct_Debit
16.76,28.02,2015,700,Diesel,Sole_Trader,Direct_Debit
48.44,76.14,2015,500,Diesel,Limited_Company,Direct_Debit
16.7,29.03,2015,700,Diesel,Sole_Trader,Direct_Debit
61.45,94.18,2015,1000,Diesel,Limited_Company,Direct_Debit
81.81,148.25,2015,4400,Diesel,Limited_Company,Direct_Debit
20.48,35.4,2015,500,Diesel,Sole_Trader,Direct_Debit
54.38,77.67,2015,700,Petrol,Partnership,Direct_Debit
38.95,58.17,2015,600,Diesel,Sole_Trader,Direct_Debit
64.28,101.4,2015,500,Diesel,Limited_Company,Direct_Debit
14.99,25.87,2015,1300,Petrol,Limited_Company,Direct_Debit
38.75,56.89,2015,500,Diesel,Sole_Trader,Direct_Debit
39.13,71.53,2015,1000,Diesel,Limited_Company,Direct_Debit
75.1,114.96,2015,1000,Diesel,Limited_Company,Direct_Debit
26.37,38.47,2015,550,Diesel,Sole_Trader,Direct_Debit
257.77,411.94,2015,4000,Diesel,Limited_Company,Direct_Debit
103.54,180.89,2015,1350,Diesel,Limited_Company,Direct_Debit
400.31,587.49,2015,2500,Diesel,Limited_Company,Direct_Debit
53.89,99.23,2015,500,Diesel,Limited_Company,Direct_Debit
341.22,546.11,2015,4000,Diesel,Limited_Company,Direct_Debit
145.48,214.84,2015,1350,Diesel,Limited_Company,Direct_Debit
63.75,93.35,2015,500,Diesel,Sole_Trader,Direct_Debit
28.59,51.04,2015,2500,Diesel,Limited_Company,Direct_Debit
135.03,200.17,2015,750,Diesel,Limited_Company,Direct_Debit
63.84,99.19,2015,2900,Diesel,Limited_Company,Direct_Debit
28.11,40.98,2015,600,Diesel,Limited_Company,Direct_Debit
246.13,362.08,2015,4500,Diesel,Limited_Company,Direct_Debit
47.92,71.68,2015,650,Diesel,Limited_Company,Direct_Debit
43.04,65.96,2015,1000,Diesel,Limited_Company,Direct_Debit
26.63,45.81,2015,1600,Diesel,Limited_Company,Direct_Debit
26.96,41.55,2015,600,Diesel,Partnership,Direct_Debit
232.22,332.72,2015,2800,Diesel,Limited_Company,Direct_Debit
33.17,57.15,2015,400,Diesel,Limited_Company,Direct_Debit
37.52,57.46,2015,2400,Petrol,Limited_Company,Direct_Debit
64.49,102.78,2015,500,Diesel,Limited_Company,Direct_Debit
66.88,101,2015,700,Diesel,Limited_Company,Direct_Debit
38.54,56.9,2015,700,Diesel,Limited_Company,Direct_Debit
526.29,830.25,2015,2250,Diesel,Sole_Trader,Direct_Debit
141.49,299.37,2015,1500,Diesel,Limited_Company,Direct_Debit
50.03,86.68,2015,500,Diesel,Limited_Company,Direct_Debit
51.54,75.52,2015,500,Diesel,Limited_Company,Direct_Debit
342,521.69,2015,750,Diesel,Limited_Company,Direct_Debit
186.6,280.06,2015,2000,Diesel,Partnership,Direct_Debit
63,116.32,2015,400,Diesel,Partnership,Direct_Debit
99.45,186.92,2015,1800,Diesel,Partnership,Direct_Debit
52.13,76.26,2015,700,Diesel,Sole_Trader,Direct_Debit
23.68,34.22,2015,1000,Diesel,Limited_Company,Direct_Debit
113.29,165.67,2015,1000,Petrol,Limited_Company,Direct_Debit
48.23,73.21,2015,500,Diesel,Sole_Trader,Direct_Debit
45.81,77.21,2015,500,Diesel,Limited_Company,Direct_Debit
35.13,52.91,2015,1000,Diesel,Sole_Trader,Direct_Debit
158.48,294.71,2015,2250,Diesel,Partnership,Direct_Debit
206.1,361.56,2015,2000,Diesel,Limited_Company,Direct_Debit
65.15,94.05,2015,1200,Diesel,Limited_Company,Direct_Debit
70.44,115.43,2015,1000,Diesel,Limited_Company,Direct_Debit
11.15,19.2,2015,400,Diesel,Limited_Company,Direct_Debit
55.11,88.97,2015,1200,Diesel,Sole_Trader,Direct_Debit
39.13,56.36,2015,3200,Diesel,Partnership,Direct_Debit
65.43,103.52,2015,500,Diesel,Limited_Company,Direct_Debit
55.28,86.65,2016,500,Diesel,Sole_Trader,Direct_Debit
97.93,167.53,2016,3300,Diesel,Limited_Company,Direct_Debit
39.76,64.02,2016,1500,Diesel,Limited_Company,Direct_Debit
45.73,65.95,2016,700,Diesel,Limited_Company,Direct_Debit
69.33,101.31,2016,800,Diesel,Limited_Company,Direct_Debit
178.1,288.16,2016,1800,Diesel,Limited_Company,Direct_Debit
59.82,108.6,2016,400,Diesel,Partnership,Direct_Debit
34,50.3,2016,400,Diesel,Sole_Trader,Direct_Debit
217.72,396.7,2016,3500,Diesel,Limited_Company,Direct_Debit
38.21,56.13,2016,1000,Diesel,Partnership,Direct_Debit
12.71,18.69,2016,1000,Diesel,Partnership,Direct_Debit
97.24,140.49,2016,1000,Diesel,Partnership,Direct_Debit
59.71,91.88,2016,700,Diesel,Limited_Company,Direct_Debit
47.02,74.54,2016,700,Diesel,Limited_Company,Direct_Debit
177.9,260.48,2016,1600,Diesel,Sole_Trader,Direct_Debit
81.42,117.64,2016,2100,Diesel,Limited_Company,Direct_Debit
42.68,62.55,2016,4000,Diesel,Limited_Company,Direct_Debit
88.78,128.27,2016,1200,Diesel,Sole_Trader,Direct_Debit
415.24,642.7,2016,4200,Diesel,Limited_Company,Direct_Debit
26.89,47.05,2016,500,Diesel,Limited_Company,Direct_Debit
42.7,61.69,2016,900,Diesel,Partnership,Direct_Debit
50,72.79,2016,1000,Diesel,Sole_Trader,Direct_Debit
91.76,133.04,2016,1400,Diesel,Partnership,Direct_Debit
62.2,92.34,2016,1300,Diesel,Limited_Company,Direct_Debit
156.79,240.38,2016,1200,Diesel,Sole_Trader,Direct_Debit
221.81,333.89,2016,3850,Diesel,Limited_Company,Direct_Debit
25.04,36.72,2016,700,Diesel,Sole_Trader,Direct_Debit
112.53,175.43,2016,1000,Diesel,Limited_Company,Direct_Debit
121.84,188.59,2016,900,Diesel,Sole_Trader,Direct_Debit
41.99,79.05,2016,800,Diesel,Limited_Company,Direct_Debit
149.41,265.04,2016,3300,Petrol,Limited_Company,Direct_Debit
86.93,149.36,2016,1400,Petrol,Limited_Company,Direct_Debit
56.35,93.99,2016,1000,Diesel,Limited_Company,Direct_Debit
139.78,238.04,2016,4600,Diesel,Limited_Company,Direct_Debit
21.12,32.15,2016,1200,Diesel,Partnership,Direct_Debit
252.78,377.85,2016,4000,Diesel,Limited_Company,Direct_Debit
63.19,93.03,2016,1400,Diesel,Partnership,Direct_Debit
48.96,75.04,2016,500,Petrol,Sole_Trader,Direct_Debit
42.17,61.39,2016,400,Diesel,Partnership,Direct_Debit
108.24,156.39,2016,1200,Diesel,Partnership,Direct_Debit
103.37,159.94,2016,3000,Diesel,Sole_Trader,Direct_Debit
39.27,71.59,2016,450,Diesel,Limited_Company,Direct_Debit
47.7,74.5,2016,1200,Diesel,Sole_Trader,Direct_Debit
27.53,39.43,2016,750,Diesel,Partnership,Direct_Debit
68.85,113.23,2016,550,Diesel,Sole_Trader,Direct_Debit
55,80.07,2016,550,Diesel,Partnership,Direct_Debit
57.38,82.82,2016,500,Diesel,Sole_Trader,Direct_Debit
65.26,94.29,2016,1300,Diesel,Limited_Company,Direct_Debit
83.09,120.05,2016,1200,Diesel,Sole_Trader,Direct_Debit
47.48,68.94,2016,500,Diesel,Sole_Trader,Direct_Debit
36.36,74.12,2016,500,Petrol,Limited_Company,Direct_Debit
70.46,104.09,2016,700,Diesel,Sole_Trader,Direct_Debit
45.08,65.13,2016,800,Diesel,Sole_Trader,Direct_Debit
104.91,179.47,2016,4000,Diesel,Limited_Company,Direct_Debit
101.42,149.68,2016,1400,Diesel,Partnership,Direct_Debit
33.39,48.19,2016,700,Diesel,Partnership,Direct_Debit
40.07,72.38,2016,400,Diesel,Partnership,Direct_Debit
109.07,157.58,2016,1400,Diesel,Partnership,Direct_Debit
56.78,82.3,2016,700,Petrol,Sole_Trader,Direct_Debit
64.37,93,2016,500,Diesel,Partnership,Direct_Debit
128.96,190.78,2016,800,Diesel,Sole_Trader,Direct_Debit
70.26,101.51,2016,500,Diesel,Partnership,Direct_Debit
54.46,79.97,2016,600,Diesel,Limited_Company,Direct_Debit
120.23,173.53,2016,2100,Diesel,Partnership,Direct_Debit
50.04,75.33,2016,400,Diesel,Partnership,Direct_Debit
60.21,86.99,2016,800,Diesel,Sole_Trader,Direct_Debit
37.41,53.99,2016,400,Diesel,Limited_Company,Direct_Debit
